代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
600000.SH,600000,2020-07-01,09:25:00.630,10873,,,B,10.5900,1600,106259,140879
600000.SH,600000,2020-07-01,09:25:00.630,10874,,,B,10.5900,1000,120578,140879
600000.SH,600000,2020-07-01,09:25:00.630,10875,,,S,10.5900,5000,145086,140879
600000.SH,600000,2020-07-01,09:25:00.630,10876,,,B,10.5900,500,130311,140879
600000.SH,600000,2020-07-01,09:25:00.630,10877,,,B,10.5900,1500,130311,146270
600000.SH,600000,2020-07-01,09:25:00.630,10878,,,B,10.5900,100,38757,146270
600000.SH,600000,2020-07-01,09:25:00.630,10879,,,B,10.5900,100,45264,146270
600000.SH,600000,2020-07-01,09:25:00.630,10880,,,B,10.5900,300,51200,146270
600000.SH,600000,2020-07-01,09:25:00.630,10881,,,B,10.5900,100,55757,146270
600000.SH,600000,2020-07-01,09:25:00.630,10882,,,B,10.5900,300,69943,146270
600000.SH,600000,2020-07-01,09:25:00.630,10883,,,B,10.5900,500,77302,146270
600000.SH,600000,2020-07-01,09:25:00.630,10884,,,B,10.5900,4800,92293,146270
600000.SH,600000,2020-07-01,09:25:00.630,10885,,,B,10.5900,9500,92293,159759
600000.SH,600000,2020-07-01,09:25:00.630,10886,,,B,10.5900,200,92293,109640
600000.SH,600000,2020-07-01,09:25:00.630,10887,,,S,10.5900,100,92293,76446
600000.SH,600000,2020-07-01,09:25:00.630,10888,,,B,10.5900,100,92293,126734
600000.SH,600000,2020-07-01,09:25:00.630,10889,,,B,10.5900,11800,92293,161342
600000.SH,600000,2020-07-01,09:25:00.630,10890,,,B,10.5900,1000,92293,153510
600000.SH,600000,2020-07-01,09:25:00.630,10891,,,S,10.5900,500,92293,55041
600000.SH,600000,2020-07-01,09:25:00.630,10892,,,B,10.5900,3600,92293,160598
600000.SH,600000,2020-07-01,09:25:00.630,10893,,,B,10.5900,5100,92293,160599
600000.SH,600000,2020-07-01,09:25:00.630,10894,,,B,10.5900,200,92293,162059
600000.SH,600000,2020-07-01,09:25:00.630,10895,,,B,10.5900,200,101412,162059
600000.SH,600000,2020-07-01,09:25:00.630,10896,,,B,10.5900,500,114128,162059
600000.SH,600000,2020-07-01,09:25:00.630,10897,,,S,10.5900,3400,114128,79847
600000.SH,600000,2020-07-01,09:25:00.630,10898,,,B,10.5900,6100,114128,162507
600000.SH,600000,2020-07-01,09:25:00.630,10899,,,B,10.5900,200,117347,162507
600000.SH,600000,2020-07-01,09:25:00.630,10900,,,B,10.5900,5730,123587,162507
600000.SH,600000,2020-07-01,09:25:00.630,10901,,,B,10.5900,200,133205,162507
600000.SH,600000,2020-07-01,09:25:00.630,10902,,,B,10.5900,5000,133259,162507
600000.SH,600000,2020-07-01,09:25:00.630,10903,,,B,10.5900,3500,137833,162507
600000.SH,600000,2020-07-01,09:25:00.630,10904,,,B,10.5900,6570,152483,162507
600000.SH,600000,2020-07-01,09:25:00.630,10905,,,S,10.5900,500,152483,59991
600000.SH,600000,2020-07-01,09:25:00.630,10906,,,S,10.5900,1200,152483,124765
600000.SH,600000,2020-07-01,09:25:00.630,10907,,,S,10.5900,100,152483,140484
600000.SH,600000,2020-07-01,09:25:00.630,10908,,,B,10.5900,5000,152483,155745
