place,time,open,max,min,close,volume,money,weight
SH600000,7/1/2015 9:31,137.5999,137.5999,136.5358,136.7814,64912,108830008,8.1856
SH600000,7/1/2015 9:32,136.8632,137.5181,136.6995,137.5181,31363,52472248,8.1856
SH600000,7/1/2015 9:33,137.4362,137.8455,137.1088,137.6818,25057,42083920,8.1856
SH600000,7/1/2015 9:34,137.5999,137.5999,136.7814,136.8632,32136,53857600,8.1856
SH600000,7/1/2015 9:35,137.1088,137.3544,136.8632,137.0269,29211,48903008,8.1856
SH600000,7/1/2015 9:36,137.1088,137.3544,136.9451,136.9451,23235,38886912,8.1856
SH600000,7/1/2015 9:37,136.9451,137.2725,136.9451,137.1088,15110,25317536,8.1856
SH600000,7/1/2015 9:38,137.3544,137.6818,137.0269,137.3544,17345,29091328,8.1856
SH600000,7/1/2015 9:39,137.3544,137.5181,136.7814,136.7814,30376,50840832,8.1856
SH600000,7/1/2015 9:40,136.9451,138.0092,136.7814,137.1088,25467,42699264,8.1856
SH600000,7/1/2015 9:41,137.1088,137.5999,136.8632,137.1907,41187,68937024,8.1856
SH600000,7/1/2015 9:42,137.1907,137.5181,137.0269,137.5181,16239,27228416,8.1856
SH600000,7/1/2015 9:43,137.3544,137.3544,136.8632,136.9451,27479,46018752,8.1856
SH600000,7/1/2015 9:44,137.0269,137.5181,137.0269,137.4362,11787,19766784,8.1856
SH600000,7/1/2015 9:45,137.5181,137.5181,137.2725,137.3544,11257,18895232,8.1856
SH600000,7/1/2015 9:46,137.2725,137.4362,137.1088,137.1088,14879,24959296,8.1856
SH600000,7/1/2015 9:47,137.1907,137.1907,136.8632,136.9451,37616,62946944,8.1856
SH600000,7/1/2015 9:48,137.0269,137.1088,136.8632,137.0269,15868,26555968,8.1856
SH600000,7/1/2015 9:49,137.1088,137.1088,136.8632,136.9451,14866,24876928,8.1856
SH600000,7/1/2015 9:50,137.3544,137.5181,137.3544,137.5181,28107,47179520,8.1856
SH600000,7/1/2015 9:51,137.5181,137.5181,137.1088,137.1088,5221,8758016,8.1856
SH600000,7/1/2015 9:52,137.1088,137.1088,137.0269,137.1088,18482,30946432,8.1856
SH600000,7/1/2015 9:53,137.1907,137.2725,137.0269,137.1907,23443,39271808,8.1856
SH600000,7/1/2015 9:54,137.1907,137.3544,136.9451,137.1907,11965,20051968,8.1856
SH600000,7/1/2015 9:55,137.1088,137.6818,137.1088,137.6818,10690,17946816,8.1856
SH600000,7/1/2015 9:56,137.5181,137.6818,137.5181,137.5999,17265,29029440,8.1856
SH600000,7/1/2015 9:57,137.6818,137.8455,137.5999,137.6818,15100,25409984,8.1856
SH600000,7/1/2015 9:58,137.6818,137.8455,137.3544,137.3544,12858,21611456,8.1856
SH600000,7/1/2015 9:59,137.4362,137.5181,137.1907,137.4362,13486,22630912,8.1856
